Do	O	O
you	O	O
want	O	O
to	O	O
make	O	O
a	O	O
difference	O	O
in	O	O
the	O	O
life	O	O
of	O	O
a	O	O
pediatric	O	O
patient	O	O
?	O	O
Are	O	O
you	O	O
interested	O	O
in	O	O
campus	O	O
leadership	O	O
opportunities	O	O
?	O	O
Do	O	O
you	O	O
love	O	O
listening	O	O
to	O	O
,	O	O
composing	O	O
,	O	O
or	O	O
playing	O	O
music	O	O
?	O	O
Then	O	O
we	O	O
want	O	O
YOU	O	O
to	O	O
be	O	O
part	O	O
of	O	O
our	O	O
Music	O	O
is	O	O
Medicine	O	O
Princeton	O	O
Chapter	O	O
!	O	O
To	O	O
learn	O	O
more	O	O
,	O	O
come	O	O
to	O	O
Frist	LOCATION	O
228	LOCATION	O
this	O	O
Wednesday	O	O
at	O	O
9PM	O	O
where	O	O
we	O	O
will	O	O
have	O	O
snacks	O	O
and	O	O
information	O	O
about	O	O
building	O	O
a	O	O
Music	O	O
is	O	O
Medicine	O	O
chapter	O	O
here	O	O
at	O	O
Princeton	O	O
from	O	O
the	O	O
ground	O	O
up	O	O
.	O	O
We	O	O
are	O	O
looking	O	O
to	O	O
establish	O	O
a	O	O
Princeton	O	O
volunteers	O	O
chapter	O	O
that	O	O
will	O	O
be	O	O
a	O	O
model	O	O
for	O	O
our	O	O
up	O	O
-	O	O
and	O	O
-	O	O
coming	O	O
national	O	O
chapters	O	O
program	O	O
.	O	O
We	O	O
are	O	O
starting	O	O
from	O	O
the	O	O
ground	O	O
up	O	O
and	O	O
are	O	O
looking	O	O
for	O	O
leaders	O	O
to	O	O
fill	O	O
executive	O	O
board	O	O
positions	O	O
that	O	O
include	O	O
President	O	O
,	O	O
Vice	O	O
President	O	O
,	O	O
Treasurer	O	O
,	O	O
Outreach	O	O
Chair	O	O
,	O	O
and	O	O
Events	O	O
Coordinator	O	O
.	O	O
Apply	O	O
here	O	O
https	O	O
docs	O	O
.	O	O
google	O	O
.	O	O
com	O	O
a	O	O
princeton	O	O
.	O	O
edu	O	O
forms	O	O
d	O	O
1IgLGZa4zH_0UJkF25JqhpMKkNvGuk0a0UNFDjk1QOqc	O	O
viewform	O	O
?	O	O
c	O	O
0	O	O
w	O	O
1	O	O
!	O	O
Please	O	O
send	O	O
any	O	O
questions	O	O
to	O	O
volunteers	O	O
@	O	O
musicismed	O	O
.	O	O
org	O	O
Music	O	O
is	O	O
Medicine	O	O
is	O	O
a	O	O
501	O	O
(	O	O
c	O	O
)	O	O
3	O	O
non	O	O
-	O	O
profit	O	O
organization	O	O
established	O	O
right	O	O
here	O	O
at	O	O
Princeton	O	O
that	O	O
has	O	O
already	O	O
paired	O	O
celebrity	O	O
artists	O	O
with	O	O
pediatric	O	O
patents	O	O
to	O	O
produce	O	O
songs	O	O
like	O	O
this	O	O
one	O	O
https	O	O
www	O	O
.	O	O
youtube	O	O
.	O	O
com	O	O
watch	O	O
